,first_group,second_group,third_group,fourth_group
91,3.4105569859007284e-207,0.9999999999999999,0.0,7.207980244993901e-17
92,9.743452552701967e-212,0.9999999999999999,0.0,8.432036924785633e-17
93,2.486128909047828e-216,0.9999999999999999,0.0,9.864908066111244e-17
94,5.665706732023592e-221,0.9999999999999999,0.0,1.15423768098358e-16
95,1.1531898970921801e-225,0.9999999999999999,0.0,1.35063857706081e-16
96,2.0963346314514477e-230,0.9999999999999999,0.0,1.5806102025895568e-16
97,3.4035357687583235e-235,0.9999999999999998,0.0,1.849916706288423e-16
98,4.935225303216622e-240,0.9999999999999998,0.0,2.1653163947156574e-16
99,6.391278800202794e-245,0.9999999999999998,0.0,2.534733962992849e-16
100,7.392136000590143e-250,0.9999999999999998,0.0,2.9674626958258897e-16
101,7.635737070425171e-255,0.9999999999999996,0.0,3.474401877085948e-16
102,7.044146310137932e-260,0.9999999999999996,0.0,4.0683355657954955e-16
103,5.803631606584642e-265,0.9999999999999996,0.0,4.764259978087887e-16
104,4.270347130571882e-270,0.9999999999999994,0.0,5.579767987286441e-16
105,2.8061851584568188e-275,0.9999999999999994,0.0,6.53550075150264e-16
106,1.646862404332062e-280,0.9999999999999992,0.0,7.655678239920306e-16
107,8.631461103227942e-286,0.9999999999999991,0.0,8.968722502150483e-16
108,4.040132467142156e-291,0.9999999999999989,0.0,1.0507989965008625e-15
109,1.6888440914445066e-296,0.9999999999999988,0.0,1.231263191294173e-15
110,6.304703472311373e-302,0.9999999999999987,0.0,1.4428605688907157e-15
111,2.1019361051381707e-307,0.9999999999999983,0.0,1.6909863132275492e-15
112,6.25824807087e-313,0.999999999999998,0.0,1.9819747455967252e-15
113,1.66403e-318,0.9999999999999977,0.0,2.3232635282277948e-15
114,0.0,0.9999999999999973,0.0,2.7235867053938668e-15
115,0.0,0.9999999999999969,0.0,3.193201668867178e-15
116,0.0,0.9999999999999963,0.0,3.74415603579336e-15
117,0.0,0.9999999999999956,0.0,4.390601488670497e-15
118,0.0,0.9999999999999949,0.0,5.149162877774299e-15
119,0.0,0.999999999999994,0.0,6.039372359871307e-15
120,0.0,0.9999999999999929,0.0,7.084180083289074e-15
121,0.0,0.9999999999999917,0.0,8.31055497541496e-15
122,0.0,0.9999999999999902,0.0,9.750191599984019e-15
123,0.0,0.9999999999999886,0.0,1.1440341893594362e-14
124,0.0,0.9999999999999867,0.0,1.3424793941052843e-14
125,0.0,0.9999999999999842,0.0,1.5755023898635448e-14
126,0.0,0.9999999999999816,0.0,1.8491551830825204e-14
127,0.0,0.9999999999999782,0.0,2.1705537716679885e-14
128,0.0,0.9999999999999745,0.0,2.548066035674744e-14
129,0.0,0.9999999999999701,0.0,2.991532954757268e-14
130,0.0,0.9999999999999649,0.0,3.5125290897543736e-14
131,0.0,0.9999999999999587,0.0,4.124669328218721e-14
132,0.0,0.9999999999999516,0.0,4.843970147084719e-14
133,0.0,0.9999999999999432,0.0,5.689275124465479e-14
