,first_group,second_group,third_group,fourth_group
0,0.9990376846421966,0.0009623153578034997,0.0,9.399072401111106e-25
1,0.9988950786759426,0.0011049213240573647,0.0,1.2509577483421842e-24
2,0.9986049806655252,0.0013950193344748549,0.0,1.8309378385364184e-24
3,0.998077302023754,0.0019226979762459707,0.0,2.9256671029358535e-24
4,0.9971484812050244,0.002851518794975651,0.0,5.030937513158023e-24
5,0.9955594385685684,0.004440561431431596,0.0,9.0846414741048e-24
6,0.9929952872449365,0.007004712755063518,0.0,1.6618653997118688e-23
7,0.9892581524209839,0.010741847579016096,0.0,2.9556873030256857e-23
8,0.9844491404928402,0.01555085950715976,0.0,4.9630227188322997e-23
9,0.9788091271955524,0.021190872804447695,0.0,7.84497303677964e-23
10,0.9723142673808551,0.027685732619144938,0.0,1.1890161561591084e-22
11,0.9645344780987893,0.03546552190121071,0.0,1.767118181300716e-22
12,0.9547527854243758,0.04524721457562418,0.0,2.6158749137086953e-22
13,0.9420549841529792,0.05794501584702084,0.0,3.887276855280318e-22
14,0.9253156958330364,0.07468430416696362,0.0,5.814352622104533e-22
15,0.9031412995962641,0.09685870040373593,0.0,8.751685137639007e-22
16,0.8738342902024756,0.12616570979752448,0.0,1.3231643116386498e-21
17,0.8354413146715508,0.1645586853284492,0.0,2.0033232217973e-21
18,0.7859646078189606,0.21403539218103945,0.0,3.024906517002756e-21
19,0.7238254515895766,0.2761745484104235,0.0,4.531526674994808e-21
20,0.6486101194626311,0.35138988053736886,0.0,6.694575379648018e-21
21,0.5619379346517371,0.43806206534826286,0.0,9.691270199897004e-21
22,0.46799636675966777,0.5320036332403323,0.0,1.366813613722736e-20
23,0.3731518072665875,0.6268481927334125,0.0,1.8704456261221934e-20
24,0.28443869175083974,0.7155613082491602,0.0,2.480024323191259e-20
25,0.20756373972409145,0.7924362602759085,0.0,3.190348890975207e-20
26,0.14553194083039028,0.8544680591696097,0.0,3.9964353092150077e-20
27,0.09852059462266528,0.9014794053773347,0.0,4.8986255475277936e-20
28,0.06472276645671314,0.935277233543287,0.0,5.905254759865633e-20
29,0.04144932249928451,0.9585506775007154,0.0,7.032853270897074e-20
30,0.02597185960701331,0.9740281403929867,0.0,8.305093840716651e-20
31,0.01596678184733998,0.98403321815266,0.0,9.751641291364916e-20
32,0.009649898092783403,0.9903501019072166,0.0,1.1407486995690027e-19
33,0.005741340153490581,0.9942586598465094,0.0,1.3312886823468205e-19
34,0.0033657857640254155,0.9966342142359745,0.0,1.5513815637621823e-19
35,0.0019453685043714013,0.9980546314956286,0.0,1.8062816585090216e-19
36,0.0011089855033843599,0.9988910144966157,0.0,2.1020155925355631e-19
37,0.000623682370892828,0.9993763176291072,0.0,2.445523791281614e-19
38,0.0003460830150994736,0.9996539169849006,0.0,2.8448270063743e-19
39,0.00018950343319708513,0.9998104965668029,0.0,3.309219467513805e-19
40,0.0001023998305283152,0.9998976001694717,0.0,3.8494920513359933e-19
41,5.460630130076833e-05,0.9999453936986993,0.0,4.478190236511831e-19
42,2.8738098821793618e-05,0.9999712619011781,0.0,5.20991280449053e-19
43,1.492629772148347e-05,0.9999850737022785,0.0,6.061658407020795e-19
44,7.651208538473253e-06,0.9999923487914616,0.0,7.053228359046567e-19
45,3.870755860422692e-06,0.9999961292441396,0.0,8.207695402101661e-19
46,1.9326471516456657e-06,0.9999980673528485,0.0,9.55194977738675e-19
47,9.523646136327194e-07,0.9999990476353865,0.0,1.1117335802509644e-18
48,4.6318063878933585e-07,0.9999995368193613,0.0,1.2940394315105616e-18
49,2.2232915521524599e-07,0.9999997776708448,0.0,1.5063728888149997e-18
50,1.0532793975431014e-07,0.9999998946720602,0.0,1.753701670065715e-18
51,4.924862246372298e-08,0.9999999507513775,0.0,2.0418188437990837e-18
52,2.272741272819082e-08,0.9999999772725873,0.0,2.3774805684370063e-18
53,1.0351739401711733e-08,0.9999999896482605,0.0,2.768566905683423e-18
54,4.653567453523392e-09,0.9999999953464326,0.0,3.2242695932491735e-18
55,2.064761563465943e-09,0.9999999979352384,0.0,3.755311317702159e-18
56,9.042047849249703e-10,0.9999999990957952,0.0,4.374201795352051e-18
57,3.9082147340302904e-10,0.9999999996091786,0.0,5.095536866604689e-18
58,1.667271839151998e-10,0.9999999998332729,0.0,5.936347859330373e-18
59,7.020246909210631e-11,0.9999999999297976,0.0,6.91650970545741e-18
60,2.9175470469148686e-11,0.9999999999708246,0.0,8.05921773267107e-18
61,1.1967524717365259e-11,0.9999999999880325,0.0,9.391544735421783e-18
62,4.8452166525786196e-12,0.9999999999951548,0.0,1.0945091898214377e-17
63,1.9361804764748164e-12,0.9999999999980639,0.0,1.2756749448309597e-17
64,7.636661692688449e-13,0.9999999999992363,0.0,1.4869585611877015e-17
65,2.972950021915822e-13,0.9999999999997027,0.0,1.733388560450501e-17
66,1.1423500920159179e-13,0.9999999999998859,0.0,2.0208366082543825e-17
67,4.332509838918718e-14,0.9999999999999567,0.0,2.356159480833839e-17
68,1.6218464792059457e-14,0.9999999999999838,0.0,2.7473650348153103e-17
69,5.9925388338698325e-15,0.9999999999999941,0.0,3.203806255329358e-17
70,2.185465442134205e-15,0.9999999999999979,0.0,3.736408152120104e-17
71,7.867015483166796e-16,0.9999999999999992,0.0,4.3579330868356065e-17
72,2.795181463221022e-16,0.9999999999999998,0.0,5.083291067493166e-17
73,9.802681286085104e-17,1.0,0.0,5.92990266217706e-17
74,3.393247423040002e-17,1.0,0.0,6.918123491423402e-17
75,1.159372003520354e-17,1.0,0.0,8.071740790411152e-17
