,first_group,second_group,third_group
0,0.9985515730837722,0.0014484269162278228,0.0
1,0.9983835605725679,0.0016164394274319693,0.0
2,0.9980866502552532,0.0019133497447468017,0.0
3,0.9976317341146215,0.002368265885378566,0.0
4,0.9970023018856863,0.0029976981143136675,0.0
5,0.9962176600144229,0.0037823399855771056,0.0
6,0.9953380267102666,0.004661973289733404,0.0
7,0.9944283405855007,0.005571659414499285,0.0
8,0.9935113147265744,0.006488685273425599,0.0
9,0.9925596843437217,0.0074403156562782785,0.0
10,0.9915212024722886,0.008478797527711392,0.0
11,0.9903407246922495,0.009659275307750447,0.0
12,0.9889667215503783,0.011033278449621644,0.0
13,0.9873484375682459,0.012651562431754106,0.0
14,0.9854306959197506,0.014569304080249335,0.0
15,0.9831491649006311,0.016850835099368838,0.0
16,0.9804263480910155,0.019573651908984423,0.0
17,0.9771677961523282,0.022832203847671834,0.0
18,0.9732580530735142,0.02674194692648578,0.0
19,0.968556038715093,0.03144396128490697,0.0
20,0.9628897380849042,0.03711026191509584,0.0
21,0.9560502123065753,0.04394978769342481,0.0
22,0.9477851170706719,0.0522148829293281,0.0
23,0.9377921667949429,0.062207833205057024,0.0
24,0.9257133690307002,0.0742866309692998,0.0
25,0.9111314207723723,0.08886857922762775,0.0
26,0.8935704333642225,0.10642956663577752,0.0
27,0.8725041056787785,0.12749589432122155,0.0
28,0.8473754410109876,0.15262455898901237,0.0
29,0.817632723860158,0.18236727613984197,0.0
30,0.7827860436528594,0.21721395634714052,0.0
31,0.7424861677642542,0.25751383223574575,0.0
32,0.6966219969490275,0.30337800305097246,0.0
33,0.6454238977992228,0.3545761022007772,0.0
34,0.5895495656139721,0.4104504343860278,0.0
35,0.5301212951024264,0.4698787048975735,0.0
36,0.4686853096479596,0.5313146903520404,0.0
37,0.4070801540148006,0.5929198459851994,0.0
38,0.34722995462040446,0.6527700453795956,0.0
39,0.29090783799931225,0.7090921620006877,0.0
40,0.2395289600380445,0.7604710399619555,0.0
41,0.19402237389276533,0.8059776261072347,0.0
42,0.15480170714926283,0.8451982928507372,0.0
43,0.12182224210899058,0.8781777578910094,0.0
44,0.09469136181690531,0.9053086381830947,0.0
45,0.07279557598030528,0.9272044240196947,0.0
46,0.055416070913155244,0.9445839290868447,0.0
47,0.04181791354507696,0.9581820864549231,0.0
48,0.03130944904275084,0.9686905509572492,0.0
49,0.023275487419493254,0.9767245125805066,0.0
50,0.01719078923724296,0.9828092107627571,0.0
51,0.012620522718067656,0.9873794772819324,0.0
52,0.009213188303598564,0.9907868116964014,0.0
53,0.006689965233207091,0.9933100347667929,0.0
54,0.00483303578543736,0.9951669642145626,0.0
55,0.0034743699753695297,0.9965256300246305,0.0
56,0.0024857156533017962,0.9975142843466982,0.0
57,0.0017700740846093312,0.9982299259153906,0.0
58,0.0012546727206584516,0.9987453272793416,0.0
59,0.0008853084002058,0.9991146915997942,0.0
60,0.0006218757789797218,0.9993781242210203,0.0
61,0.0004348832640380343,0.9995651167359619,0.0
62,0.000302770287972266,0.9996972297120277,0.0
63,0.00020986217716000946,0.99979013782284,0.0
64,0.00014482459765414652,0.9998551754023459,0.0
65,9.950459323302126e-05,0.999900495406767,0.0
66,6.80676693680344e-05,0.9999319323306319,0.0
67,4.635953664064813e-05,0.9999536404633593,0.0
68,3.143696708896331e-05,0.9999685630329109,0.0
69,2.1225013802173913e-05,0.9999787749861978,0.0
70,1.4268003402972382e-05,0.999985731996597,0.0
71,9.549665077090088e-06,0.999990450334923,0.0
72,6.3639156670897155e-06,0.9999936360843329,0.0
73,4.222537293398531e-06,0.9999957774627066,0.0
74,2.789566418134457e-06,0.9999972104335819,0.0
75,1.8349121434868634e-06,0.9999981650878564,0.0
76,1.2017394809162988e-06,0.9999987982605191,0.0
77,7.83651408612201e-07,0.9999992163485913,0.0
78,5.088081041913071e-07,0.9999994911918958,0.0
79,3.289308042633038e-07,0.9999996710691959,0.0
80,2.1172656587531142e-07,0.9999997882734342,0.0
81,1.356960605082614e-07,0.9999998643039394,0.0
82,8.659263472980466e-08,0.9999999134073654,0.0
83,5.501957078752779e-08,0.9999999449804293,0.0
84,3.480780424666296e-08,0.9999999651921957,0.0
85,2.1926022565925613e-08,0.9999999780739774,0.0
86,1.3752050467273053e-08,0.9999999862479495,0.0
87,8.588156784576454e-09,0.9999999914118433,0.0
88,5.340204332031772e-09,0.9999999946597957,0.0
89,3.306295388919087e-09,0.9999999966937047,0.0
90,2.038223120166896e-09,0.9999999979617769,0.0
91,1.2510898157766872e-09,0.9999999987489101,0.0
92,7.646317270749041e-10,0.9999999992353683,0.0
93,4.653112349017705e-10,0.9999999995346888,0.0
94,2.819437506180762e-10,0.9999999997180563,0.0
95,1.7010199274810416e-10,0.999999999829898,0.0
96,1.0218439655176943e-10,0.9999999998978156,0.0
97,6.112069139483253e-11,0.9999999999388793,0.0
98,3.640161367073072e-11,0.9999999999635983,0.0
99,2.158648399088736e-11,0.9999999999784136,0.0
100,1.274595120747272e-11,0.9999999999872541,0.0
101,7.49362252248321e-12,0.9999999999925064,0.0
102,4.386728195801776e-12,0.9999999999956133,0.0
103,2.55693158530132e-12,0.9999999999974429,0.0
104,1.4839766134231955e-12,0.9999999999985161,0.0
105,8.575602756887598e-13,0.9999999999991424,0.0
106,4.934372943073036e-13,0.9999999999995065,0.0
107,2.827021138695594e-13,0.9999999999997172,0.0
108,1.612708778272269e-13,0.9999999999998387,0.0
109,9.160362886100948e-14,0.9999999999999084,0.0
110,5.1808289630115214e-14,0.9999999999999483,0.0
