,first_group,second_group,third_group
0,0.995204561791041,0.0047954382089589985,0.0
1,0.9948054371939185,0.005194562806081539,0.0
2,0.9943479859298735,0.005652014070126571,0.0
3,0.9938228685397275,0.006177131460272482,0.0
4,0.9932189824645075,0.006781017535492616,0.0
5,0.9925231034921478,0.0074768965078522995,0.0
6,0.9917194488717207,0.008280551128279233,0.0
7,0.9907891445650884,0.009210855434911583,0.0
8,0.9897095752924031,0.01029042470759698,0.0
9,0.9884535915303408,0.011546408469659156,0.0
10,0.9869885424216011,0.013011457578398855,0.0
11,0.985275097714846,0.014724902285153978,0.0
12,0.9832658155906271,0.016734184409372813,0.0
13,0.980903407016323,0.019096592983677066,0.0
14,0.9781186420193183,0.021881357980681682,0.0
15,0.9748278405741795,0.025172159425820437,0.0
16,0.970929893349467,0.029070106650532973,0.0
17,0.9663027696702534,0.033697230329746586,0.0
18,0.9607994984222572,0.03920050157774269,0.0
19,0.9542436622643307,0.045756337735669325,0.0
20,0.9464245407451876,0.05357545925481241,0.0
21,0.9370921930550852,0.06290780694491482,0.0
22,0.9259530100725428,0.07404698992745717,0.0
23,0.9126666133801492,0.08733338661985093,0.0
24,0.8968454540079814,0.1031545459920186,0.0
25,0.8780590581496807,0.12194094185031928,0.0
26,0.8558455150894201,0.14415448491057983,0.0
27,0.8297333314749159,0.17026666852508415,0.0
28,0.7992768513906132,0.2007231486093868,0.0
29,0.7641075389968638,0.2358924610031362,0.0
30,0.7240008966599771,0.27599910334002287,0.0
31,0.6789541585924095,0.32104584140759057,0.0
32,0.6292633678312101,0.37073663216878994,0.0
33,0.5755815986944064,0.42441840130559355,0.0
34,0.5189361936194636,0.4810638063805365,0.0
35,0.4606860141357411,0.5393139858642588,0.0
36,0.4024122749140444,0.5975877250859556,0.0
37,0.3457563060299684,0.6542436939700316,0.0
38,0.29223686287072115,0.7077631371292789,0.0
39,0.24308867123619168,0.7569113287638083,0.0
40,0.19915737871488667,0.8008426212851133,0.0
41,0.1608670366305236,0.8391329633694763,0.0
42,0.12825416254044053,0.8717458374595595,0.0
43,0.10104687714024228,0.8989531228597577,0.0
44,0.07876281717958303,0.921237182820417,0.0
45,0.06080376108328365,0.9391962389167163,0.0
46,0.046533422115380876,0.9534665778846191,0.0
47,0.0353332880096546,0.9646667119903454,0.0
48,0.026637362665042227,0.9733626373349578,0.0
49,0.019949772592539997,0.9800502274074601,0.0
50,0.014850087140540478,0.9851499128594595,0.0
51,0.01099078734073349,0.9890092126592666,0.0
52,0.008090359501128028,0.991909640498872,0.0
53,0.005924456536630841,0.9940755434633692,0.0
54,0.004316688189029346,0.9956833118109706,0.0
55,0.003129939566361952,0.9968700604336379,0.0
56,0.0022586641580829695,0.9977413358419169,0.0
57,0.0016223102942769967,0.998377689705723,0.0
58,0.001159872310538611,0.9988401276894614,0.0
59,0.0008254698022415247,0.9991745301977584,0.0
60,0.0005848205362104548,0.9994151794637895,0.0
61,0.00041246419013758105,0.9995875358098624,0.0
62,0.00028960161293237674,0.9997103983870677,0.0
63,0.0002024293563798077,0.9997975706436202,0.0
64,0.00014086687343040305,0.9998591331265696,0.0
65,9.759127379778809e-05,0.9999024087262022,0.0
66,6.731049828658797e-05,0.9999326895017134,0.0
67,4.621965054703842e-05,0.999953780349453,0.0
68,3.159689383439448e-05,0.9999684031061655,0.0
69,2.1504903917969158e-05,0.999978495096082,0.0
70,1.4571600393277348e-05,0.9999854283996066,0.0
71,9.830026652378837e-06,0.9999901699733476,0.0
72,6.602079765376019e-06,0.9999933979202346,0.0
73,4.4145486234927704e-06,0.9999955854513766,0.0
74,2.9388138255648403e-06,0.9999970611861744,0.0
75,1.947775014786228e-06,0.9999980522249852,0.0
76,1.2852485705955292e-06,0.9999987147514293,0.0
77,8.44340726536195e-07,0.9999991556592734,0.0
78,5.522442968211138e-07,0.9999994477557032,0.0
79,3.596070854228092e-07,0.9999996403929146,0.0
80,2.3313599441384127e-07,0.9999997668640056,0.0
81,1.5047871988028399e-07,0.9999998495212801,0.0
82,9.669991205254743e-08,0.9999999033000879,0.0
83,6.186754165805742e-08,0.9999999381324584,0.0
84,3.940814341613788e-08,0.9999999605918566,0.0
85,2.499170941341857e-08,0.9999999750082906,0.0
86,1.577950407101766e-08,0.999999984220496,0.0
87,9.91924587878405e-09,0.9999999900807541,0.0
88,6.208009755373989e-09,0.9999999937919902,0.0
89,3.868254653766255e-09,0.9999999961317453,0.0
90,2.399756337032812e-09,0.9999999976002436,0.0
91,1.4822079809541813e-09,0.9999999985177921,0.0
92,9.114682273211939e-10,0.9999999990885318,0.0
93,5.580392888507632e-10,0.9999999994419608,0.0
94,3.4015693919511796e-10,0.9999999996598431,0.0
95,2.0643610773621152e-10,0.9999999997935639,0.0
96,1.2473381408968053e-10,0.9999999998752661,0.0
97,7.503698790537779e-11,0.999999999924963,0.0
98,4.4942751906155966e-11,0.9999999999550572,0.0
99,2.6800162654214998e-11,0.9999999999731998,0.0
100,1.5911426289524578e-11,0.9999999999840886,0.0
101,9.405353242196233e-12,0.9999999999905946,0.0
102,5.5352319939727945e-12,0.9999999999944648,0.0
103,3.2433338272672934e-12,0.9999999999967567,0.0
104,1.8920951214873787e-12,0.9999999999981078,0.0
105,1.0989809049017584e-12,0.999999999998901,0.0
106,6.355263502440093e-13,0.9999999999993645,0.0
107,3.659094064015759e-13,0.9999999999996341,0.0
108,2.0975413782358035e-13,0.9999999999997902,0.0
109,1.1971396034990373e-13,0.9999999999998803,0.0
110,6.802627629556233e-14,0.9999999999999319,0.0
