,first_group,second_group
0,1.0,1.0665624311496654e-242
1,1.0,5.2582490033407316e-241
2,1.0,2.5923620634961345e-239
3,1.0,1.278055765992513e-237
4,1.0,6.300914442289814e-236
5,1.0,3.1063972097365944e-234
6,1.0,1.5314753577646434e-232
7,1.0,7.550272986158243e-231
8,1.0,3.722330277426711e-229
9,1.0,1.83512968196709e-227
10,1.0,9.04728378559097e-226
11,1.0,4.460353291351172e-224
12,1.0,2.198972978946503e-222
13,1.0,1.0841019059062368e-220
14,1.0,5.344657738995723e-219
15,1.0,2.634931082684313e-217
16,1.0,1.2990270266458636e-215
17,1.0,6.404226332461768e-214
18,1.0,3.157291718352339e-212
19,1.0,1.5565472069578248e-210
20,1.0,7.673781417229604e-209
21,1.0,3.7831720156964374e-207
22,1.0,1.8651006911176672e-205
23,1.0,9.19492099806854e-204
24,1.0,4.533078503747046e-202
25,1.0,2.2347965457239177e-200
26,1.0,1.1017479470613324e-198
27,1.0,5.431577867951519e-197
28,1.0,2.6777453010529926e-195
29,1.0,1.3201157473007992e-193
30,1.0,6.5081003615959006e-192
31,1.0,3.2084549800196825e-190
32,1.0,1.5817474043623475e-188
33,1.0,7.79790208670085e-187
34,1.0,3.844305436077727e-185
35,1.0,1.89521047732763e-183
36,1.0,9.3432175359196e-182
37,1.0,4.6061164726464105e-180
38,1.0,2.2707682214689815e-178
39,1.0,1.119463998443384e-176
40,1.0,5.518828271195458e-175
41,1.0,2.7207149866706126e-173
42,1.0,1.3412774740774664e-171
43,1.0,6.612316312082414e-170
44,1.0,3.2597779074447232e-168
45,1.0,1.6070219148617624e-166
46,1.0,7.9223673503683315e-165
47,1.0,3.9055979764462544e-163
48,1.0,1.925393386631459e-161
49,1.0,9.491848250164159e-160
50,1.0,4.679306176579833e-158
51,1.0,2.3068082682147163e-156
52,1.0,1.137210575561192e-154
53,1.0,5.606213439178852e-153
54,1.0,2.763743336392464e-151
55,1.0,1.3624642787837562e-149
56,1.0,6.716636897578792e-148
57,1.0,3.3111430285689504e-146
58,1.0,1.6323125848614605e-144
59,1.0,8.046889336695024e-143
60,1.0,3.966907141323842e-141
61,1.0,1.955578887442797e-139
62,1.0,9.640464043533585e-138
63,1.0,4.752474837128681e-136
64,1.0,2.342831176769943e-134
65,1.0,1.1549453612680992e-132
66,1.0,5.69352396053994e-131
67,1.0,2.8067267252520246e-129
68,1.0,1.3836248860411515e-127
69,1.0,6.82080841037515e-126
70,1.0,3.36242481592232e-124
71,1.0,1.657557309695691e-122
72,1.0,8.171160797001129e-121
73,1.0,4.02808093330716e-119
74,1.0,1.985691789314871e-117
75,1.0,9.788692978912433e-116
76,1.0,4.825438480173759e-114
77,1.0,2.3787459507142267e-112
78,1.0,1.1726233493742126e-110
79,1.0,5.780537247891208e-109
80,1.0,2.849555073046842e-107
81,1.0,1.4047048583400578e-105
82,1.0,6.924561655069032e-104
83,1.0,3.413490157449495e-102
84,1.0,1.6826902709391398e-100
85,1.0,8.294856301030145e-99
86,1.0,4.0889584551111063e-97
87,1.0,2.0156525459743313e-95
88,1.0,9.936141803985483e-94
89,1.0,4.8980027026729984e-92
90,1.0,2.4144564918737853e-90
91,1.0,1.190197038358953e-88
92,1.0,5.867018510918112e-87
93,1.0,2.8921123329901446e-85
94,1.0,1.4256468413353095e-83
95,1.0,7.027613179493853e-82
96,1.0,3.4641989740092595e-80
97,1.0,1.7076422460755482e-78
98,1.0,8.417633789403522e-77
99,1.0,4.149370687627925e-75
100,1.0,2.0453776451535354e-73
101,1.0,1.0082397903860758e-71
102,1.0,4.969963650431453e-70
103,1.0,2.4498620898032967e-68
104,1.0,1.2076166763454647e-66
105,1.0,5.952721982099818e-65
106,1.0,2.934277104839951e-63
107,1.0,1.446390870468982e-61
108,1.0,7.129666807749936e-60
109,1.0,3.514404985664183e-58
110,1.0,1.7323409914417232e-56
111,1.0,8.539136486913865e-55
112,1.0,4.2091414456406725e-53
113,1.0,2.074780085876648e-51
114,1.0,1.0227031684138873e-49
115,1.0,5.041109207711271e-48
116,1.0,2.484858015505636e-46
