,first_group,second_group
182,1.6056316968341207e-67,1.0
183,3.2598935800673835e-69,1.0
184,6.618521834130453e-71,1.0
185,1.3437506370956742e-72,1.0
186,2.7282015721866513e-74,1.0
187,5.539037704557154e-76,1.0
188,1.1245849917344868e-77,1.0
189,2.2832335684741444e-79,1.0
190,4.635627116501136e-81,1.0
191,9.411671166387748e-83,1.0
192,1.910843381189039e-84,1.0
193,3.8795695070096745e-86,1.0
194,7.876659646642261e-88,1.0
195,1.5991924134832364e-89,1.0
196,3.2468293305042657e-91,1.0
197,6.592016707514527e-93,1.0
198,1.338373219295168e-94,1.0
199,2.717291788022625e-96,1.0
200,5.5169038517809636e-98,1.0
201,1.120094474640756e-99,1.0
202,2.2741232372121203e-101,1.0
203,4.617144201762664e-103,1.0
204,9.374173414847755e-105,1.0
205,1.903235942366228e-106,1.0
206,3.8641358024201895e-108,1.0
207,7.845348399196654e-110,1.0
208,1.5928401423256783e-111,1.0
209,3.23394220207862e-113,1.0
210,6.56587212246694e-115,1.0
211,1.3330691911749395e-116,1.0
212,2.7065313896785747e-118,1.0
213,5.4950740724592224e-120,1.0
214,1.1156658506732883e-121,1.0
215,2.265138885814217e-123,1.0
216,4.598917708667275e-125,1.0
217,9.337197582273615e-127,1.0
218,1.8957347333419612e-128,1.0
219,3.848918312194021e-130,1.0
220,7.81447721758562e-132,1.0
221,1.5865774376912936e-133,1.0
222,3.221237366133902e-135,1.0
223,6.540098548426892e-137,1.0
224,1.3278406722527382e-138,1.0
225,2.695924668014026e-140,1.0
226,5.4735570530963065e-142,1.0
227,1.1113008783196068e-143,1.0
228,2.2562840740921757e-145,1.0
229,4.5809548434487606e-147,1.0
230,9.300758256235218e-149,1.0
231,1.8883427070313734e-150,1.0
232,3.833923013731261e-152,1.0
233,7.784058201297951e-154,1.0
234,1.5804067487280498e-155,1.0
235,3.2087197800967685e-157,1.0
236,6.514706019780724e-159,1.0
237,1.3226896935688533e-160,1.0
238,2.685475733951711e-162,1.0
239,5.452361114267532e-164,1.0
240,1.1070012416511504e-165,1.0
241,2.2475622105259854e-167,1.0
