,first_group,second_group
0,1.0,1.0467566415613752e-242
1,1.0,5.158611390642146e-241
2,1.0,2.5422553016720915e-239
3,1.0,1.2528664207509e-237
4,1.0,6.174327100554724e-236
5,1.0,3.0428024107595417e-234
6,1.0,1.4995367758222202e-232
7,1.0,7.389920048195877e-231
8,1.0,3.64184623279029e-229
9,1.0,1.7947448434540184e-227
10,1.0,8.844699152750699e-226
11,1.0,4.358756976540853e-224
12,1.0,2.1480356389123977e-222
13,1.0,1.0585699081658125e-220
14,1.0,5.2167117183082054e-219
15,1.0,2.570830009983762e-217
16,1.0,1.2669197640440567e-215
17,1.0,6.2434420679093745e-214
18,1.0,3.0767930348661584e-212
19,1.0,1.5162530977742585e-210
20,1.0,7.472128571755265e-209
21,1.0,3.682274718994086e-207
22,1.0,1.814626501413414e-205
23,1.0,8.942470630380698e-204
24,1.0,4.406837169113522e-202
25,1.0,2.1716792949668768e-200
26,1.0,1.070196634712537e-198
27,1.0,5.273885201257383e-197
28,1.0,2.598944239312889e-195
29,1.0,1.28074434682481e-193
30,1.0,6.3114206615897905e-192
31,1.0,3.110219202374733e-190
32,1.0,1.5326890638585775e-188
33,1.0,7.552944711829878e-187
34,1.0,3.7220117268352983e-185
35,1.0,1.8341647839270793e-183
36,1.0,9.038537081366987e-182
37,1.0,4.454070787990979e-180
38,1.0,2.1949026403641016e-178
39,1.0,1.0816146968296799e-176
40,1.0,5.330022828695613e-175
41,1.0,2.626544279361332e-173
42,1.0,1.2943137063350906e-171
43,1.0,6.378132504258027e-170
44,1.0,3.143016680236086e-168
45,1.0,1.548813029126979e-166
46,1.0,7.632212570748824e-165
47,1.0,3.7609804557823676e-163
48,1.0,1.8533218573519075e-161
49,1.0,9.132712133390116e-160
50,1.0,4.5003660265649374e-158
51,1.0,2.2176604524828375e-156
52,1.0,1.0928018190534054e-154
53,1.0,5.385014880323303e-153
54,1.0,2.6535760875095695e-151
55,1.0,1.3076012246037915e-149
56,1.0,6.443446495933341e-148
57,1.0,3.175120900141136e-146
58,1.0,1.5645931937164405e-144
59,1.0,7.709775538284693e-143
60,1.0,3.7991037792689243e-141
61,1.0,1.8720597397736747e-139
62,1.0,9.22480874466225e-138
63,1.0,4.545630778531436e-136
64,1.0,2.239907375928711e-134
65,1.0,1.1037356678527973e-132
66,1.0,5.438751386032313e-131
67,1.0,2.6799855159721286e-129
68,1.0,1.3205802406883526e-127
69,1.0,6.507231368570303e-126
70,1.0,3.206467232528207e-124
71,1.0,1.579997738221016e-122
72,1.0,7.785476960417719e-121
73,1.0,3.83630457506171e-119
74,1.0,1.8903404641998916e-117
75,1.0,9.314640010017503e-116
76,1.0,4.589773036039773e-114
77,1.0,2.261598119181043e-112
78,1.0,1.1143939487493758e-110
79,1.0,5.491122605535579e-109
80,1.0,2.705718548653663e-107
81,1.0,1.333224167635945e-105
82,1.0,6.569356263594181e-104
83,1.0,3.236991271739776e-102
84,1.0,1.5949949644844208e-100
85,1.0,7.859160834454262e-99
86,1.0,3.8725060684336903e-97
87,1.0,1.908126247973051e-95
88,1.0,9.402019997209913e-94
89,1.0,4.632701302505864e-92
90,1.0,2.2826876583563997e-90
91,1.0,1.1247545068895571e-88
92,1.0,5.542019524743143e-87
93,1.0,2.73072154612404e-85
94,1.0,1.3455066133797818e-83
95,1.0,6.629691328502087e-82
96,1.0,3.2666291304255878e-80
97,1.0,1.6095534408687187e-78
98,1.0,7.930672525787667e-77
99,1.0,3.907632185805958e-75
100,1.0,1.9253796672454664e-73
101,1.0,9.486764607671978e-72
102,1.0,4.674325017241112e-70
103,1.0,2.3031314466765217e-68
104,1.0,1.1347954303696176e-66
105,1.0,5.591334365412805e-65
106,1.0,2.7549414969922585e-63
107,1.0,1.3574015047179332e-61
108,1.0,6.68810832830293e-60
109,1.0,3.2953177410768644e-58
110,1.0,1.6236421509516185e-56
111,1.0,7.999859501155312e-55
112,1.0,3.9416079163087013e-53
113,1.0,1.9420638352525652e-51
114,1.0,9.56869245547909e-50
115,1.0,4.7145549888025065e-48
116,1.0,2.322885628108563e-46
117,1.0,1.1444951555546868e-44
118,1.0,5.6389611043209804e-43
119,1.0,2.778326273819846e-41
120,1.0,1.368883213453935e-39
121,1.0,6.744481267240729e-38
122,1.0,3.3229951624479894e-36
123,1.0,1.637230644541307e-34
124,1.0,8.06657207284961e-33
125,1.0,3.974359678519364e-31
126,1.0,1.958142583029116e-29
127,1.0,9.647625757811987e-28
128,1.0,4.753303833732139e-26
129,1.0,2.3419072535294623e-24
130,1.0,1.1538325735765521e-22
131,1.0,5.684795997920702e-21
132,1.0,2.8008248915795545e-19
133,1.0,1.3799266837136505e-17
134,0.9999999999999993,6.798687015926049e-16
135,0.9999999999999665,3.3496008884513775e-14
136,0.9999999999983497,1.6502891898141082e-12
137,0.9999999999186934,8.130664147357591e-11
138,0.9999999959941843,4.005815673432358e-09
139,0.9999998026419749,1.9735802516304113e-07
140,0.9999902767033135,9.723296686403867e-06
141,0.9995211807359977,0.00047881926400234175
142,0.9769426442420348,0.023057355757965227
143,0.46236635257276965,0.5376336474272303
144,0.017156372124153704,0.9828436278758463
145,0.0003541844346834667,0.9996458155653165
146,7.191566861062922e-06,0.9999928084331389
147,1.4597246768515527e-07,0.9999998540275323
148,2.962896096299207e-09,0.9999999970371038
149,6.01399242375342e-11,0.9999999999398601
150,1.220704022505561e-12,0.9999999999987793
151,2.4777581972907026e-14,0.9999999999999751
152,5.029311276531362e-16,0.9999999999999996
153,1.020843482535401e-17,1.0
154,2.072100694795224e-19,1.0
155,4.2059451556941275e-21,1.0
156,8.537238393562861e-23,1.0
157,1.732895078680677e-24,1.0
