,first_group,second_group
83,1.0,3.29429918233951e-101
84,1.0,1.6224381183546448e-99
85,1.0,7.990490348888789e-98
86,1.0,3.935309628602114e-96
87,1.0,1.9381374422202122e-94
88,1.0,9.545318439809103e-93
89,1.0,4.701067177194417e-91
90,1.0,2.3152755139265894e-89
91,1.0,1.1402736426388474e-87
92,1.0,5.615852310578111e-86
93,1.0,2.765810715953482e-84
94,1.0,1.3621640571387448e-82
95,1.0,6.708672054810897e-81
96,1.0,3.3040293179078227e-79
97,1.0,1.6272392303188412e-77
98,1.0,8.014180190490533e-76
99,1.0,3.946998696082576e-74
100,1.0,1.9439050400098135e-72
101,1.0,9.57377664232188e-71
102,1.0,4.715108802120262e-69
103,1.0,2.322203781953228e-67
104,1.0,1.143692094024858e-65
105,1.0,5.632719066375347e-64
106,1.0,2.7741327815184633e-62
107,1.0,1.3662701440882764e-60
108,1.0,6.728931268655403e-59
109,1.0,3.314025047055116e-57
110,1.0,1.6321710117398633e-55
111,1.0,8.038512908100523e-54
112,1.0,3.959004047373385e-52
113,1.0,1.9498282427140403e-50
114,1.0,9.60300038195529e-49
115,1.0,4.729527049137318e-47
116,1.0,2.3293173356818668e-45
117,1.0,1.1472016991733085e-43
118,1.0,5.650034261671724e-42
119,1.0,2.7826754593613147e-40
120,1.0,1.370484761599757e-38
121,1.0,6.749724396083144e-37
122,1.0,3.324283431657951e-35
123,1.0,1.637232003840718e-33
124,1.0,8.06348125941851e-32
125,1.0,3.971322087188855e-30
126,1.0,1.9559052656547057e-28
127,1.0,9.632980800279891e-27
128,1.0,4.744317521570202e-25
129,1.0,2.336613993071487e-23
130,1.0,1.1508013752227273e-21
131,1.0,5.667792522997648e-20
132,1.0,2.79143608318216e-18
133,0.9999999999999998,1.3748065867461995e-16
134,0.9999999999999933,6.771044873588455e-15
135,0.9999999999996665,3.33480121552869e-13
136,0.9999999999835758,1.6424205912825017e-11
137,0.9999999991910923,8.0890772252213e-10
138,0.9999999601605131,3.9839486823908345e-08
139,0.9999980378697124,1.962130287605724e-06
140,0.9999033722566167,9.662774338324538e-05
141,0.9952630699311299,0.00473693006887012
142,0.8101041799433508,0.18989582005664915
143,0.07971367295835442,0.9202863270416455
144,0.0017556216951645886,0.9982443783048354
145,3.570775984465054e-05,0.9999642922401553
146,7.250395179204978e-07,0.999999274960482
147,1.4721284288820419e-08,0.9999999852787157
148,2.98902296762392e-10,0.9999999997010977
149,6.068937043225065e-12,0.9999999999939311
150,1.2322415436091015e-13,0.9999999999998768
151,2.5019515481432676e-15,0.9999999999999976
152,5.079977380564242e-17,1.0
153,1.031441252947342e-18,1.0
154,2.0942428988877986e-20,1.0
155,4.2521584730598725e-22,1.0
156,8.633594926827385e-24,1.0
157,1.75296696519451e-25,1.0
158,3.559226550085175e-27,1.0
159,7.226655805018399e-29,1.0
160,1.4673000972402236e-30,1.0
161,2.9792048102502944e-32,1.0
162,6.048972545471893e-34,1.0
163,1.2281819353166187e-35,1.0
164,2.493696734815613e-37,1.0
165,5.063192132190352e-39,1.0
166,1.0280281791262917e-40,1.0
167,2.0873028745926005e-42,1.0
168,4.2380469560314826e-44,1.0
169,8.604901406982355e-46,1.0
170,1.7471326301839345e-47,1.0
171,3.547363501256467e-49,1.0
172,7.202534616852404e-51,1.0
173,1.4623955547267838e-52,1.0
174,2.9692325008747756e-54,1.0
175,6.02869616550284e-56,1.0
176,1.2240592276458087e-57,1.0
177,2.4853142628661875e-59,1.0
178,5.0461486187193276e-61,1.0
179,1.0245628570587326e-62,1.0
180,2.080257151975258e-64,1.0
181,4.223721615826079e-66,1.0
182,8.575775341722303e-68,1.0
183,1.74121079703096e-69,1.0
184,3.5353234594335843e-71,1.0
185,7.178055411910794e-73,1.0
186,1.4574185951899973e-74,1.0
187,2.959113715021724e-76,1.0
188,6.008123517385187e-78,1.0
189,1.2198765972121006e-79,1.0
190,2.4768105948801947e-81,1.0
191,5.02885998755869e-83,1.0
192,1.0210479613897777e-84,1.0
193,2.0731111721063575e-86,1.0
194,4.2091935210966527e-88,1.0
195,8.546239247369e-90,1.0
196,1.735206046019013e-91,1.0
197,3.523115741691995e-93,1.0
198,7.15323714237484e-95,1.0
199,1.4523730736899637e-96,1.0
200,2.948856294125199e-98,1.0
201,5.987270550809163e-100,1.0
202,1.215637288169407e-101,1.0
203,2.46819232932667e-103,1.0
204,5.011339659475545e-105,1.0
205,1.0174862217508201e-106,1.0
206,2.0658704866506258e-108,1.0
207,4.194473962910831e-110,1.0
208,8.516316087491795e-112,1.0
209,1.7291230473584359e-113,1.0
210,3.5107498458987243e-115,1.0
211,7.128099123853394e-117,1.0
212,1.4472629183345877e-118,1.0
213,2.9384682264256848e-120,1.0
214,5.966153510470559e-122,1.0
215,1.2113446039453962e-123,1.0
216,2.459466183752626e-125,1.0
217,4.993601294432837e-127,1.0
218,1.0138804158151297e-128,1.0
219,2.058540743750481e-130,1.0
220,4.179574426057311e-132,1.0
221,8.486029214584137e-134,1.0
222,1.7229665493301394e-135,1.0
223,3.4982354266142553e-137,1.0
224,7.102660986403567e-139,1.0
225,1.44209212032507e-140,1.0
226,2.927957626738659e-142,1.0
227,5.944788894954487e-144,1.0
228,1.2070018988855291e-145,1.0
229,2.450638977806787e-147,1.0
230,4.975658757090713e-149,1.0
231,1.0102333622871645e-150,1.0
232,2.051127673780104e-152,1.0
233,4.164506560096716e-154,1.0
234,8.455402311240003e-156,1.0
235,1.7167413663341527e-157,1.0
236,3.4855822708085716e-159,1.0
237,7.076942625190734e-161,1.0
238,1.4368647239300968e-162,1.0
239,2.9173327160854102e-164,1.0
240,5.923193415352014e-166,1.0
241,1.2026125698456728e-167,1.0
242,2.441717616155638e-169,1.0
243,4.957526082100483e-171,1.0
244,1.0065479138523832e-172,1.0
245,2.0436370750235894e-174,1.0
246,4.149282150270525e-176,1.0
247,8.424459331061895e-178,1.0
248,1.7104523668862638e-179,1.0
249,3.4728002734805537e-181,1.0
250,7.050964150968338e-183,1.0
251,1.4315848164302905e-184,1.0
252,2.9066018012697815e-186,1.0
253,5.901383953781039e-188,1.0
254,1.1981800477679434e-189,1.0
255,2.4327090713769716e-191,1.0
256,4.939217439364779e-193,1.0
